feature,sanitized,cluster,cluster_k12,n_games,centrality
Hidden Victory Points,Mech_Hidden_Victory_Points,29,9,41,0.8098312020301819
Movement Template,Mech_Movement_Template,26,10,30,0.3763011395931244
Slide/Push,Mech_Slide_Push,8,6,22,0.3329494893550873
Targeted Clues,Mech_Targeted_Clues,33,10,24,0.49870431423187256
Command Cards,Mech_Command_Cards,9,10,27,0.4185393452644348
Grid Coverage,Mech_Grid_Coverage,19,7,53,0.3129446804523468
Relative Movement,Mech_Relative_Movement,15,5,13,0.255476176738739
Action/Event,Mech_Action_Event,9,10,46,0.5863422155380249
Card Play Conflict Resolution,Mech_Card_Play_Conflict_Resolution,14,10,99,0.7422266602516174
"I Cut, You Choose",Mech_I_Cut__You_Choose,16,10,36,0.45588332414627075
Die Icon Resolution,Mech_Die_Icon_Resolution,20,10,45,0.2890456020832062
Elapsed Real Time Ending,Mech_Elapsed_Real_Time_Ending,7,10,38,0.18898890912532806
Advantage Token,Mech_Advantage_Token,2,9,16,0.17883841693401337
Storytelling,Mech_Storytelling,7,10,501,0.5308959484100342
Catch the Leader,Mech_Catch_the_Leader,6,9,35,0.3064700961112976
Roles with Asymmetric Information,Mech_Roles_with_Asymmetric_Information,5,10,32,0.2320493906736374
Traitor Game,Mech_Traitor_Game,5,10,85,0.360262006521225
Moving Multiple Units,Mech_Moving_Multiple_Units,25,9,16,0.536745011806488
Semi-Cooperative Game,Mech_Semi_Cooperative_Game,37,10,56,1.0
Communication Limits,Mech_Communication_Limits,33,10,123,0.9237998127937317
Time Track,Mech_Time_Track,15,4,99,0.6877170205116272
Speed Matching,Mech_Speed_Matching,1,7,29,0.16548186540603638
Cube Tower,Mech_Cube_Tower,35,11,14,1.0
Re-rolling and Locking,Mech_Re_rolling_and_Locking,20,10,66,0.4060978591442108
Impulse Movement,Mech_Impulse_Movement,8,6,11,0.22158199548721313
Loans,Mech_Loans,3,9,23,0.23856064677238464
Delayed Purchase,Mech_Delayed_Purchase,25,9,17,0.44971200823783875
"Deck, Bag, and Pool Building",Mech_Deck__Bag__and_Pool_Building,12,10,787,0.40644484758377075
Move Through Deck,Mech_Move_Through_Deck,7,10,43,0.20332400500774384
Single Loser Game,Mech_Single_Loser_Game,10,1,28,0.2734708786010742
Matching,Mech_Matching,6,9,28,0.23604366183280945
Induction,Mech_Induction,36,8,10,1.0
Physical Removal,Mech_Physical_Removal,10,1,17,0.20055228471755981
Narrative Choice / Paragraph,Mech_Narrative_Choice___Paragraph,7,10,40,0.24151138961315155
Pieces as Map,Mech_Pieces_as_Map,8,6,19,0.28451013565063477
Follow,Mech_Follow,27,9,44,0.5144715309143066
Finale Ending,Mech_Finale_Ending,9,10,24,0.3931933641433716
Order Counters,Mech_Order_Counters,18,10,9,0.39557740092277527
Contracts,Mech_Contracts,2,9,137,0.42062732577323914
Passed Action Token,Mech_Passed_Action_Token,22,3,5,0.2714483439922333
King of the Hill,Mech_King_of_the_Hill,20,10,19,0.18589985370635986
Action Retrieval,Mech_Action_Retrieval,16,10,62,0.6124919056892395
Force Commitment,Mech_Force_Commitment,14,10,15,0.40860316157341003
Rondel,Mech_Rondel,15,4,64,0.6003809571266174
Automatic Resource Growth,Mech_Automatic_Resource_Growth,2,9,16,0.252477765083313
Legacy Game,Mech_Legacy_Game,16,10,32,0.48353731632232666
Dexterity,Mech_Dexterity,1,7,1105,0.5096916556358337
Physical,Mech_Physical,39,10,459,1.0
